Term	Romanization	Meaning 1	Meaning 2	Meaning 3	Meaning 4				
ا	Alif	The first letter of the Pushto alphabet							
ابا	Ābā 	Dad, Daddy	Ancestors						
ابابیله	Abābīlah	A kind of swallow							
ابات	Ābāt	Inhabited, Populated, Cultivated.	 Flourishing, Prosperous.	Wealthy	Fat				
اباتوالی	Ābātwālay	State of being inhabitated, populated, cultivated.	Fatness	Plentifulness, Abundance.	Wealth				
اباتوب	Ābātub	Father-hood							
اباتول	Ābātawul 	To build, To construct.	To cultivate, To render habitable or populous.	To fatten	To settle				
اباتونه	Ābātawunah	Building	The act of constructing house, etc.	Fattening					
اباتوونکی	Ābātawonkay	Builder, Constructor.							
اباتي	Ābāty	Populousness, Flourishing condition (of a city, etc.)	An inhabited or habitable place.	Settlement	Population				
اباتیدل	Ābātidil	To become prosperous.	To become cultivated.	Flourish	To become fat				
اباتیدنه	Ābātīdanah	Flourish, Prosper, Thrive.	Prosperity	State of being vigourous.					
اباتیدونکی	Ābātidūnkay	Flourishing, Thriving.	Habitable						
اباخیل	Ābākhīl	The relatives on one's father's side.	The name of an Afghan tribe.						
اباد	Ābād	Inhabited, Populated, Cultivated.	Flourishing, Prosperous.	Wealthy	Fat				
ابادول	Ābādawul	To build, To construct.	To render habitable or populous.	To fatten	To settle				
ابادونه	Ābādawunah	Building	The act of constructing houses, etc.	Fattening	Settling				
ابادی	Ābādi	Populousness, Flourishing condition (of a city, etc.)	An inhabited or habitable place.	Settlement	Population				
ابادیدل	Ābādydil	To become prosperous.	To become cultivated.	Flourish	To become fat				
ابادیدنه	Ābādydanah	Flourish, Prosper, Thrive.	Prosperity	State of being vigourous.					
اباسین	Abāsīn	The Indus							
اباګنی	Ābāgani	The relatives on one's father's side.							
ابایی	Ābāyī	Paternal							
ابتدا	Ibtidā	Beginning, Inception, Start, Dawn.							
ابتدایی	Ibtidāyī	Primary, Elementary	Primitive	Initial	Crude				
ابتر	Abtar	Devoid of good qualities.	Worried, Perplexed, Disturbed, Distressed.	Bobtailed					
ابترول	Abtarawul	To void of good qualities.	To worry, to perplex, to disturb, to distress.	To curtail					
ابتریدل	Abtaridil	To become distressed, perplexed, disturbed.							
ابتکار	Ibtikar	Initiative, leading action	Innovation						
ابتکاری	Ibtikarī	Initiatory, Initial, Introductory, Originative.	Innovative						
ابته	Abtah	Useless, Fruitless, Vain	Lost labour						
ابجد	Abjad	The Arabic alphabet arranged according to the numerical values of the letters, or in the original Hebrew and Syriac order, (so called from the names of the first four letters ا ب ج د - 1,2,3,4 composing ابجد.)							
ابجوشه	Ābjushah	A kind of raisin							
ابحاث	Abhās̱	Disputes, Arguments, Debates, Controversies, Discussions.							
ابحار	Abhār	Oceans							
ابد	Abad	Eternity, Without end.							
ابداع	Ibda ̒	Innovation, Origination, Creation, Invention.							
ابدال	Abdāl	Saint, Hermit, Monk.							
ابدال	Ibdāl	Exchanging, Substitution.							
ابدالی	Abdāli	The name of an Afghan tribe.							
ابدی	Abadi	Eternal, Everlasting, Perpetual.							
ابدیت	Abadyat	Eternity, Perpetuity, Timelessness.							
ابرا	Ibrā	Quittance, Discharge from a debt or obligation.	Forgiveness						
ابرک	Abrak	Mica, Muscovite.							
ابرو	Ābru	Dignity, Honor							
ابرومن	Ābruman	Honorable, Respectable, Reputable.							
ابره	Ibrah	Crop	Yield, Harvest						
ابره	Abrah	A cashmere shawl.	The outside (of a cloth, etc.), the top (part).	Smooth coloured paper.					
ابره ور	Abrahwar	Fertile, Productive, Rich							
ابشار	Abshār	Waterfall							
ابعاد	Ab ̒ād	Dimensions	Distances						
ابک	Abak	Dad, Daddy							
ابل	Abal	Bare (feet).							
ابلاغ	Iblāgh	Conveying, Sending, Act of communication, an official notice.							
ابلاغول	Iblāghawul	To inform, to communicate (officially), to transmit.							
ابلاغیدل	Iblāghidil	To be communicated							
ابلاغیه	Iblāghiyah	A communique, an official (communication or notice), notification, announcement.							
ابلک	Ablak	Piebald, Parti-coloured, variegated.							
ابلکه	Ablakah	Varigated, Piebald							
ابلوڅ	Abloṡ	Adolescent, Pubescent							
ابلوڅه	Abloṡah	Pubescent, Adolescent							
ابلیس	Iblīs	Satan, The devil.							
ابهام	Ibhām	Ambiguity, Vagueness, Uncertainty.							
ابۍ	Abạy	Mama							
اپارتمان	Apārtumān	Apartment, Flat, Suite.							
اپریدي	Apridi	The name of an Afghan tribe.							
اپریشن	Aprishan	Operation							
اپریل	April	April							
اپس ډنډی	Apasḍanḍay	A kind of children's game played with one long and one short stick.							
اپلاتون	Aplātūn	Plato							
اپلتی	Aplaty	Nonsense							
اپنډکس	Apanḍiks	Appendicitis							
اپوټه	Apuṭah	Overturned	Against	Perplexed					
اپی	Apī	Viper							
اپیلل	Apilil	To swallow, to devour, to gulp, engulf.							
اپیم	Apīm	Opium							
اپین	Apīn	Opium							
اتازوني	Atāzūnī	The United State of America							
اتاشه	Atashah	Attaché							
اتام	Atām	Food, Aliment, Daily bread.	Crumb, Fragments of food.						
اتبار	Atbār	Sunday							
اتباع	Atbā ̒	Subjects, Retinue	Followers						
اتڅنډ	Atṡanḍ	Octagonal, Octangular							
اتحاد	Itihād	Union, Alliance, League, Concord							
اتحادیه	Itihādiyah	Union							
اترنګ	Atrang	The Henna flower, a shrub used for dyeing							
اتریش	Utrīsh	Austria							
اتشبازی	Atishbāzī	Fire-works, a pyrotechnic display.							
اتش پرست	Atish Parast	A fire-worshiper							
اتشک	Atishak	Syphilis, Mild chance.	A vine disease.						
اتشکده	Atishkadah	A fire-temple							
اتشګیر	Atishgīr	Fork (for holding and lifting fire).							
اتصال	Itiṣāl	Contiguity, Junction, Connection.							
اتفاق	Itifāq	Agreement, Concord	Alliance, Union.						
اتفاقي	Itifāqī	By chance, Accidental							
اتکا	Itikā	Reliance	Leaning						
اتکړۍ	Atkaṛay	Handcuffs							
اتکۍ	Atakay	Mama							
